values,time 
0,0
3,0.1
7,0.2
9,0.3
8,0.4
4,0.5
8,0.6
10,0.7
2,0.8
5,0.9
6,1
6,1.1
6,1.2
9,1.3
11,1.4
6,1.5
79,1.6
0,1.7
82,1.8
48,1.9
31,2
33,2.1
19,2.2
0,2.3
41,2.4
0,2.5
35,2.6
0,2.7
31,2.8
31,2.9
39,3
16,3.1
0,3.2
0,3.3
6,3.4
34,3.5
0,3.6
0,3.7
0,3.8
0,3.9
7,4
7,4.1
9,4.2
8,4.3
9,4.4
9,4.5
7,4.6
3,4.7
10,4.8
6,4.9
3,5
1,5.1
7,5.2
9,5.3
7,5.4
3,5.5
7,5.6
9,5.7
7,5.8
16,5.9
9,6
9,6.1
7,6.2
4,6.3
11,6.4
0,6.5
0,6.6
0,6.7
78,6.8
0,6.9
2,7
43,7.1
62,7.2
80,7.3
1,7.4
11,7.5
50,7.6
0,7.7
0,7.8
47,7.9
74,8
43,8.1
32,8.2
5,8.3
0,8.4
17,8.5
0,8.6
15,8.7
0,8.8
6,8.9
10,9
10,9.1
7,9.2
7,9.3
7,9.4
4,9.5
9,9.6
6,9.7
5,9.8
12,9.9
11,10
11,10.1
6,10.2
14,10.3
9,10.4
10,10.5
5,10.6
7,10.7
7,10.8
8,10.9
6,11
14,11.1
11,11.2
20,11.3
0,11.4
243,11.5
0,11.6
99,11.7
115,11.8
66,11.9
3,12
49,12.1
118,12.2
88,12.3
81,12.4
0,12.5
0,12.6
0,12.7
0,12.8
0,12.9
9,13
13,13.1
10,13.2
0,13.3
71,13.4
0,13.5
38,13.6
6,13.7
9,13.8
7,13.9
9,14
10,14.1
9,14.2
6,14.3
8,14.4
10,14.5
10,14.6
6,14.7
7,14.8
9,14.9
10,15
1,15.1
12,15.2
9,15.3
6,15.4
7,15.5
7,15.6
9,15.7
9,15.8
6,15.9
9,16
12,16.1
43,16.2
15,16.3
112,16.4
22,16.5
0,16.6
14,16.7
119,16.8
21,16.9
16,17
33,17.1
0,17.2
49,17.3
0,17.4
32,17.5
80,17.6
0,17.7
0,17.8
0,17.9
29,18
5,18.1
33,18.2
9,18.3
0,18.4
17,18.5
30,18.6
6,18.7
13,18.8
11,18.9
6,19
11,19.1
9,19.2
7,19.3
11,19.4
9,19.5
11,19.6
3,19.7
6,19.8
7,19.9
8,20
10,20.1
5,20.2
14,20.3
12,20.4
10,20.5
9,20.6
11,20.7
9,20.8
9,20.9
5,21
0,21.1
0,21.2
131,21.3
5,21.4
0,21.5
0,21.6
0,21.7
0,21.8
43,21.9
0,22
65,22.1
0,22.2
0,22.3
0,22.4
0,22.5
0,22.6
0,22.7
114,22.8
0,22.9
31,23
0,23.1
0,23.2
107,23.3
78,23.4
13,23.5
2,23.6
6,23.7
7,23.8
3,23.9
5,24
10,24.1
12,24.2
7,24.3
9,24.4
7,24.5
11,24.6
5,24.7
7,24.8
15,24.9
6,25
6,25.1
3,25.2
8,25.3
7,25.4
6,25.5
8,25.6
9,25.7
25,25.8
6,25.9
57,26
0,26.1
121,26.2
0,26.3
80,26.4
0,26.5
80,26.6
0,26.7
46,26.8
16,26.9
2,27
29,27.1
0,27.2
144,27.3
0,27.4
16,27.5
0,27.6
80,27.7
0,27.8
0,27.9
14,28
64,28.1
64,28.2
1,28.3
10,28.4
7,28.5
15,28.6
10,28.7
14,28.8
11,28.9
4,29
8,29.1
9,29.2
6,29.3
9,29.4
3,29.5
10,29.6
12,29.7
7,29.8
7,29.9
6,30
7,30.1